data/department,data/season/0,data/occasion/0,data/categories/0,data/categories/1,data/categories/2,data/categories/3,data/categories/4,data/physical IDs/0,data/physical IDs/1,data/physical IDs/2,data/physical IDs/3,data/physical IDs/4,data/curation date,data/description,data/categories/5,data/physical IDs/5,data/season/1,data/occasion/1,data/occasion/2,data/season/2,data/season/3,data/occasion/3,data/categories/6,data/physical IDs/6,data/occasion/4,data/occasion/5,data/occasion/6,data/categories/7,data/physical IDs/7
Mens,fall,activewear,Track & Active Jackets,Active Pants,Active Shirts & Tees,Shoes,Watches,41BBrjBcKeL,31bRXfwSsuL,31+mIlka-eL,41hrvpJBGWL,41XuFcnIZQL,2020-10-14,"This activewear set for men includes lightweight track jackets, active pants, performance shirts & tees, and athletic shoes perfect for working out or casual wear.",,,,,,,,,,,,,,,
Mens,summer,swimwear,Swim,Shirts,Shoes,Watches,Sunglasses,51-DER1vkoL,41jv81mWflL,419Mm4KBOyL,41BQBghKOaL,31ipzg2KGFL,2020-10-14,"Hit the beach or pool in men's swim shirts, sandals, stylish sunglasses, baseball caps, and waterproof watches.Look sharp with men's casual and dress shirts, leather shoes, sleek watches, and practical wallets for everyday wear.",Hats & Caps,31PkWMUts5L,,,,,,,,,,,,,
Mens,spring,casual,Shirts,Shoes,Watches,Wallets,,51Nh4PgfpNL,311MMdmssJL,41GAksxtJQL,61oK-NpF9pL,,2020-10-14,"A versatile wardrobe of men's pants, shirts, jackets & coats, lace-up shoes, and stainless steel watches for both work and play.",,,summer,,,,,,,,,,,,
Mens,fall,semi-formal,Pants,Shirts,Jackets & Coats,Shoes,Watches,31HPgoGLr7L,61JWQjZKmyL,314ZRIsdFxL,31JfTYH4DIL,41cZXWYYEpL,2020-10-14,"Men's casual pants, shirts, sneakers, watches, and winter accessories like sweaters and scarves for laidback style.",,,,,,,,,,,,,,,
Mens,spring,work-casual,Pants,Shirts,Shoes,Watches,Accessories,31HPgoGLr7L,51-TEMT-i0L,31Lv9MnpkeL,410AMQ-b7xL,31Xy+-UnM7L,2020-10-14,"Formal attire for men including tailored suits, dress shirts, ties, shoes, belts, and watches for black tie events and weddings.Office-ready ensemble of men's suits, button-down shirts, oxfords, leather belts, and stainless steel watches.",Sweaters,41yr0CmHGcL,fall,,,,,,,,,,,,
Mens,fall,business-attire,Suits & Sport Coats,Shirts,"Ties, Cummerbunds & Pocket Squares",Shoes,Belts,319sX8NvRnL,21ZJq8GTr9L,4121UXyc0WL,31pYzvFFhrL,31ap5bxlFaL,2020-10-14,"Trendy men's tops, lightweight jackets, casual footwear, analog watches, and simple necklaces create an effortless look.",,,winter,,,,,,,,,,,,
Mens,fall,work,Suits & Sport Coats,Shirts,Shoes,Belts,Watches,319sX8NvRnL,41sE6SUQW3L,31O0n5kWVxL,31ap5bxlFaL,51XxuXbQuKL,2020-10-14,"Cold weather wear for men - wool sweaters, relaxed fit jeans, winter coats, dress shoes, and knit scarves to stay warm in style.Men's designer sunglasses, long- and short-sleeve shirts, leather slip-on shoes, and metal & leather watches for everyday casual wear.",,,winter,,,,,,,,,,,,
Mens,fall,nightout,Shirts,Jackets & Coats,Shoes,Watches,Necklaces,31ubu6zF5eL,51tkm-sJQRL,310NqPvC+dL,412mUPJ6j0L,41avtq9pk1L,2020-10-18,"Relaxed men's shorts, short-sleeve shirts, boat shoes, leather belts, and wayfarer sunglasses perfect for warm weather.",,,,,,,,,,,,,,,
Mens,fall,casual-event,Watches,Pants,Sweaters,Shoes,Jackets & Coats,41pWzNYi20L,41RfMkEY+-L,41jQkQMxjeL,41AXSG2JPDL,41Uhwo8gpjL,2020-10-21,"Beat the heat in men's shorts, breezy shirts, polarized sunglasses, and digital sports watches for active summer days.",Scarves,412+XHpQrHL,winter,,,,,,,,,,,,
Mens,summer,resort,Sunglasses,Shirts,Shoes,Watches,,31+qDYPS1AL,51EJ7Q82l4L,31YhcJ7uQyL,51t5XxsAuCL,,2020-10-21,"Men's shorts, printed shirts, slip-on sneakers, canvas belts, and military watches for laidback weekend style.",,,,,,,,,,,,,,,
Mens,summer,casual,Shirts,Shorts,Shoes,Belts,Sunglasses,51t255tsD6L,419MWk8IZLL,31XkOJkbqkL,41pF9pi3jHL,21En+cCsKsL,2020-10-21,"Rugged men's jeans, cozy sweaters, insulated jackets, boots, and chronograph watches for outdoors activities.",Wallets,51kznNbjpTL,,resort,,,,,,,,,,,
Mens,summer,casual-event,Shirts,Shorts,Sunglasses,Watches,,31berY6RKjL,31YTGci6gkL,2170rIfrEkL,51L-2Zm99cL,,2020-10-21,"Complete men's professional look with dress shirts, patterned ties, vests, cufflinks, and sleek watches.",,,,resort,,,,,,,,,,,
Mens,summer,nightout,Shorts,Shirts,Shoes,Watches,Belts,41wVKdc7lgL,31WKxpw3lSL,413b2ziaFoL,41K0jyZ61IL,41Tb1i8rt4L,2020-11-03,"Casual to formal men's shoes, relaxed fit jeans, classic sweaters, tailored suits and sport coats, leather belts, and military watches.Smart men's pants, button-down shirts, blazers, oxfords, and aviator watches for the office or events.",,,,resort,,,,,,,,,,,
Mens,fall,casual,Jeans,Sweaters,Jackets & Coats,Shoes,Watches,31ZMum95aUL,51asdmbSLbL,41qWv8QVoKL,31BIptO0x8L,51HnDoVrfJL,2020-11-03,"Vacation-ready men's shirts, athletic water shoes, mirrored sunglasses, and digital watches for beach and poolside.",Bracelets,31HEG6gkDXL,,casual-event,work-casual,,,,,,,,,,
Mens,spring,formal,Shirts,"Ties, Cummerbunds & Pocket Squares",Cuff Links,Watches,,419sfJpvfVL,31NusmSPOgL,31Mh-7RTnzL,41JZULZTyKL,,2020-11-04,"Weekend men's jeans, sweaters, sneakers, moto jackets, wallets, and weekenders for casual style.Everyday men's pants, sweaters, boots, coats, and chronograph watches for winter weather.",,,,,,,,,,,,,,,
Mens,fall,casual-event,Shoes,Jeans,Sweaters,Suits & Sport Coats,Belts,31S9zz0d09L,31EW2t2cCqL,31upi-6Pt6L,41ur56yWIgL,41o-l4fjvGL,2020-11-08,"Men's activewear including sweatshirts, training pants, and sporty sunglasses for gym workouts and running.",Watches,41vBRex9gUL,,nightout,,,,,,,,,,,
Mens,summer,semi-formal,Pants,Shirts,Suits & Sport Coats,Shoes,Watches,313qcxhSfCL,31Lib9HXfwL,51I2i3lO0kL,31A5pqm1ZtL,51fwlkx5IwL,2020-11-08,Must-have women's shoes and designer handbags for everyday chic style.,,,,resort,,,,,,,,,,,
Mens,spring,swimwear,Shirts,Swim,Shoes,Sunglasses,Watches,61YrTVvoF+L,51N8-7J5z8L,41uRd1YCpAL,31A8Moag8xL,41DxL3LtdoL,2020-11-08,"Feminine women's dresses, heels, classic handbags, and stackable rings perfect for cocktail parties.",,,,resort,,,,,,,,,,,
Mens,fall,casual,Sweaters,Jeans,Shoes,Jackets & Coats,Wallets,31Jf0Cg-XzL,41A2qzk-HiL,31SeOoXan5L,41n6EW0k9bL,41-apWBvZiL,2020-11-19,"Versatile women's skirts, blouses, booties, totes, cat-eye sunglasses, and drop earrings for work and weekends.Polished looks with women's skirts, pumps, watch, crossbody bag, and gemstone earrings for the office or nights out.",,,,casual-event,,,,,,,,,,,
Mens,winter,casual-event,Sweaters,Pants,Shoes,Jackets & Coats,Watches,31Jf0Cg-XzL,31lWmVS0XsL,410ZYr3DP+L,31rUNI0-wHL,41lbv7feHfL,2020-12-03,"Shop our selection of stylish women's tops, tees and blouses to pair with jeans or bracelets. Complete your outfit with a chic handbag.",,,,work-casual,,,,,,,,,,,
Mens,fall,casual,Active Sweatshirts,Active Pants,Sunglasses,,,31gJgTaDdpL,41LcLJc0BwL,318NY1dWCfL,,,2020-12-12,"Discover elegant women's dresses, coats, jackets and vests. Choose from our collection of designer watches and shiny earrings to accessorize.Comfortable women's leggings and soft tops and tees are wardrobe essentials. Find your new favorites for layering or lounging.",,,,activewear,,,,,,,,,,,
Womens,summer,swimwear,Shoes,Handbags,,,,31ENS1ivpgL,51oyvlfR7dL,,,,2020-10-14,"Activewear for her workout - women's shoes, leggings, sports bras, track jackets. Technical athletic shirts and tees to keep you cool and dry.",,,,,,,,,,,,,,,
Womens,spring,semi-formal,Dresses,Shoes,Handbags,Rings,,31oxXjdE7OL,21991lNFInL,41kifwG2l+L,41R8MDVPyYL,,2020-10-14,"Must-have women's sweaters, jeans, coats and handbags. Finish off your look with shoes and sparkling earrings.",,,summer,,,,,,,,,,,,
Womens,spring,work-casual,Skirts,"Tops, Tees & Blouses",Shoes,Handbags,Sunglasses,510VTYPxwlL,31JsjJL4V7L,21IJowFXvqL,31z-qCXpnoL,31wUhylceaL,2020-10-14,"Dress to impress with women's dresses, shoes, handbags, bracelets and rings. The perfect accessories for a night out.",Earrings,31gYPCmBTnL,,,,,,,,,,,,,
Womens,spring,casual-event,Skirts,Shoes,Watches,Handbags,Earrings,510VTYPxwlL,21Q5VEhjRHL,41tOjuOwAHL,31fLJ6yhlqL,21YCATEGboL,2020-10-14,"Women's suiting and blazers, tops, shoes, watches and more. Professional essentials including handbags and coats for the modern woman.",,,summer,,,,,,,,,,,,
Womens,spring,nightout,"Tops, Tees & Blouses",Jeans,Bracelets,Handbags,,419PY2vveiL,31wOHMqjYVL,41coygX5lKL,51Ou6HV3cpL,,2020-10-15,"Complete your polished look with women's watches, handbags, blazers and tops. Stylish shoes to take you from work to weekend.Stay sharp with women's watches, handbags, blazers, jeans and tops. Complete the look with fashionable shoes.",,,,,,,,,,,,,,,
Womens,fall,work,Dresses,"Coats, Jackets & Vests",Watches,Earrings,,310je3c6BbL,41KN+bCdukL,41rHM8XydnL,31R5RddLxcL,,2020-10-18,"Women's blazers, tops, jeans and shoes for a put-together look. Finish with handbags and sunglasses for instant glamour.",,,winter,,,,,,,,,,,,
Womens,spring,casual,Leggings,"Tops, Tees & Blouses",,,,31r0dwXSz7L,31DQvVcF9dL,,,,2020-10-22,"Chic women's handbags, blazers, tops and shoes. Sunglasses and earrings add designer flair.",,,summer,casual-event,,,,,,,,,,,
Womens,fall,activewear,Shoes,Active Leggings,Sports Bras,Track & Active Jackets,Active Shirts & Tees,41yfCqtBqgL,41wbpfaDAfL,413Bs4RCyrL,41a+FZwS48L,41q919mqoOL,2020-10-26,"Activewear essentials - women's shirts, shoes and leggings for gym or outdoor fitness.",Watches,41+-egIQVGL,winter,,,,,,,,,,,,
Womens,fall,casual,Earrings,Sweaters,Jeans,"Coats, Jackets & Vests",Handbags,3169QNt540L,413gukIeTaL,31qUD3zLSDL,41Uz-jNx6sL,31wSGeL2uaL,2020-10-27,"Women's tops, jeans, blazers and shoes for casual chic style. Carry your essentials in a roomy handbag.",Shoes,31eOXecNtkL,,,,,,,,,,,,,
Womens,summer,formal,Earrings,Dresses,Shoes,Handbags,Bracelets,21ZZX-7KdYL,31JsjJL4V7L,41DCwZW7gUL,51GRP0gJOuL,313UatADXGL,2020-10-28,Men's shirts and belts - find stylish pairings for a complete sophisticated look.Men's pants in casual to business styles. Complete your outfit with fashionable shoes.,Rings,21HQ0JsSdAL,,,,,,,,,,,,,
Womens,fall,business-attire,Suiting & Blazers,"Tops, Tees & Blouses",Shoes,Watches,Handbags,31qVzK2mRqL,311Wv-iUMQL,314ojzWFl3L,317vB6xfdjL,31Ztd8LWwmL,2020-11-01,"Men's suits, sport coats, dress shirts and refined shoes for tailored distinction.","Coats, Jackets & Vests",31Kzfmvx8mL,winter,,,,,,,,,,,,
Womens,fall,work-casual,Watches,Handbags,Suiting & Blazers,"Tops, Tees & Blouses",Shoes,31u-jqc7jTL,31HmrdVIaNL,41+sKt+FSvL,41VAXQ9IjDL,41RSYEdhFPL,2020-11-02,"Men's pants, shirts and jackets - essential wardrobe pieces with polished style.Mix and match men's pants, shirts and shoes for versatile looks.",,,winter,work,,,,,,,,,,,
Womens,fall,casual,Watches,Handbags,Suiting & Blazers,Jeans,"Tops, Tees & Blouses",31u-jqc7jTL,51oAMaalpLL,71KbbkfV47L,3169g11Ux-L,31GwyxtrfBL,2020-11-02,"Men's shirts, jeans and jackets for laidback casual cool.",Shoes,31y52X2aEwL,winter,work-casual,,,,,,,,,,,
Womens,fall,casual-event,Suiting & Blazers,"Tops, Tees & Blouses",Jeans,Shoes,Handbags,71KbbkfV47L,31JsjJL4V7L,41iWLLf3UdL,31wb+dE3GKL,41eIoqc+cML,2020-11-04,"Build your wardrobe with men's pants, shirts and shoes.",Sunglasses,31EH8TsTk3L,,work-casual,,,,,,,,,,,
Womens,fall,work,Handbags,Suiting & Blazers,"Tops, Tees & Blouses",Shoes,Sunglasses,31bofrGPFcL,71KbbkfV47L,31LxdNxTwsL,41NGPKcB8qL,310z4StFBHL,2020-11-08,Men's jackets and shirts - outerwear and layering essentials.,Earrings,31ZDzmrF9BL,,business-attire,,,,,,,,,,,
Womens,fall,activewear,Active Shirts & Tees,Shoes,Active Leggings,,,315eQdSm0jL,41YPPnSqaCL,31YL6MfOKgL,,,2020-11-23,"Men's suits, pants and dress shoes - polished professional style.Men's pants, shoes and shirts - wardrobe basics with smart versatility.Men's pants, shirts and shoes - mix and match staple pieces for any occasion.",,,winter,resort,,,,,,,,,,,
Womens,fall,work-casual,"Tops, Tees & Blouses",Jeans,Suiting & Blazers,Shoes,Handbags,51e55wb6kLL,31nbIUtvStL,71KbbkfV47L,41tdvwjELaL,318t51lHaGL,2020-12-14,"Men's pants and shoes - find comfortable, stylish fits. Complete the outfit with shirts.",,,winter,semi-formal,,,,,,,,,,,
Mens,spring,smart-casual,Shirts,Belts,,,,91x0tYlKsnL,71eY0Qt9RDL,,,,2019-05-06,"Mens Jeans Jackets & Coats - A stylish collection of men's denim jeans and outerwear jackets and coats for a casual, laidback look. Made from durable fabrics with comfortable fits. ",,,fall,,,,,,,,,,,,
Mens,summer,smart-casual,Pants,Shoes,,,,81LqO740sgL,71JZkat4R7L,,,,2019-05-06,"Mens Shoes Pants - Quality men's shoes to match various styles of pants, including dress shoes, sneakers, boots, etc. Shoes and pants sold separately so you can mix and match.",,,winter,casual,,spring,fall,,,,,,,,
Mens,summer,work,Suits & Sport Coats,Shirts,Shoes,,,810M7wajPNL,81yb8NIkKlL,61GgtUtZSWL,,,2019-05-06,Mens Jeans Shirts - Casual men's button down shirts in classic and modern styles to pair perfectly with your favorite jeans. Great for a relaxed daytime look.,,,winter,formal,,spring,fall,,,,,,,,
Mens,winter,smart-casual,Pants,Shirts,Jackets & Coats,,,81VjUIO8KCL,71Iv8JnixTL,71Eu2PVEEYL,,,2019-05-06,"Mens Suits & Sport Coats Shoes - Mens tailored suits, sport coats and dress shoes to create polished, professional looks. Shop suits, blazers, oxfords and more.",,,fall,nightout,,,,,,,,,,,
